inputs,response
병원 예약은 인터넷으로 가능한가요?,"상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
예약 문의는 병원 내 어느 곳에서 하나요?,"병원 수납처에서도 예약 가능하지만, 저희 ""Asklepios""를 이용하여 온라인 예약도 가능합니다.

상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
병원 예약 관련 정보를 어디서 확인할 수 있나요?,"병원 예약 현황은 [마이페이지] > [예약현황] 에서 확인 가능하며, 예약은 아래 순서에 따라 진행됩니다.

상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
진료를 미리 예약하려면 어떤 단계를 거쳐야 하나요?,"상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
진료예약 페이지는 병원 웹사이트에서 어떻게 찾나요?,"병원 웹사이트를 이용할 경우 병원마다 상이하기때문에 해당 병원으로 직접 문의 바랍니다.
저희 ""Asklepios""를 이용해 온라인 예약도 가능하니 많은 이용 부탁드립니다.

상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
병원 예약 접수처는 어디에 있나요?,"방문 예약 시, 병원 수납처에서 예약 가능하며 저희 ""Asklepios""를 이용하시면 집에서도 편하게 예약 가능합니다.

상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
진료를 예약하려면 어떤 절차가 필요한지 알려주세요.,"상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
병원 예약을 위해 온라인 시스템을 이용할 수 있나요?,"상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
진료 예약 문의는 전화로 가능한가요?,"병원 예약관련 전화 문의 시, 하단의 상담사 연락처 또는 해당 병원 연락처로 문의 부탁드립니다.

상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
병원 방문 전에 예약을 할 수 있는 방법은 무엇인가요?,"상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
진료 예약을 하려면 어떤 경로를 통해 접근해야 하나요?,"상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
병원 예약은 현장에서도 할 수 있나요?,"병원 방문 예약 시, 병원 수납처를 이용 부탁드립니다.
(병원마다 현장 예약관련 규정은 상이함으로, 방문 전 전화로 문의하는것을 권고합니다.)

상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
병원에서 진료를 예약하려면 구체적으로 어떻게 하면 되나요?,"병원 방문 예약 시, 병원 수납처를 이용 부탁드립니다.
(병원마다 절차가 상이함으로, 방문 전 해당 병원 연락처로 문의하는것을 권고합니다.)

상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
진료 예약은 병원에 전화로 문의하면 되나요?,"저희 ""Asklepios""를 이용하시면, 전화 문의없이 온라인으로 예약 가능합니다.

상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
진료일정을 정하기 위해 병원에 연락해야 하나요?,"별도의 연락은 필요하지 않습니다. 저희 ""Asklepios""에서 온라인 예약 진행 시 일정을 선택하여 예약이 가능합니다.

상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
병원 예약 시스템은 어떻게 이용하면 되나요?,"상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
병원 예약을 위해 필요한 서류가 있나요?,"별도의 서류는 필요하지 않습니다. 하지만, 일부 서류가 필요한 진료가 있을 수도 있으니 정확한 내용은 병원 연락처로 문의 부탁드립니다.

상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
병원 예약을 시작하려면 어디로 가야 하나요?,"상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
진료예약 시스템은 병원 웹사이트에서 어떻게 찾을 수 있나요?,"병원마다 시스템이 상이해 답변드리기 어렵습니다. 관련 사항은 해당 병원 연락처로 문의 부탁드립니다.
저희 ""Asklepios""를 이용하실 경우 아래 방법에 따라 예약 부탁드립니다.

상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
병원 예약을 위해 온라인 절차를 밟아야 하나요?,"저희 ""Asklepios""를 이용하지 않더라도, 병원 방문 예약, 전화 문의 예약 등을 이용하실 수 있습니다.
- 병원 방문 시 > 수납처 
- 전화 문의 시 > 해당 병원 연락처 이용

상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
병원에서 진료일정을 예약하려면 어디로 가야 하나요?,"병원 방문 예약 시 수납처를 이용 부탁드립니다.

저희 ""Asklepios""를 이용하실 경우 일정도 함께 예약하실 수 있습니다.
많은 이용 부탁드립니다.

상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
예약 절차는 병원에서 직접 안내받을 수 있나요?,"저희 ""Asklepios""에서 온라인 예약이 가능하며, 방문 예약 시 수납처를 이용하시기 바랍니다.

상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
병원 예약 접수는 언제 가능한가요?,"저희 ""Asklepios""는 1년 365일 24시간 이용가능하며, 언제든지 예약이 가능합니다. 다만, 예약 승인의 경우 병원 운영 시간에 이루어지므로 참고 부탁드립니다.

상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
병원 예약을 위해서는 어떤 경로를 사용하면 되나요?,"상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
병원 예약은 홈페이지에서 바로 할 수 있나요?,"상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
진료 예약 방법은 무엇인가요?,"상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
병원 예약은 어디로 연락하면 되나요?,"저희 ""Asklepios""를 이용하시면 온라인 예약이 가능합니다. 전화로 예약을 원하시는 경우, 해당 병원 연락처로 문의 부탁드립니다.

상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
진료 예약을 위해 어디로 전화해야 하나요?,"저희 ""Asklepios""를 이용하시면 온라인 예약이 가능합니다. 전화로 예약을 원하시는 경우, 해당 병원 연락처로 문의 부탁드립니다.

상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
병원 예약은 인터넷 외에 다른 방법이 있나요?,"저희 ""Asklepios""를 이용하지 않더라도, 병원 방문 예약, 전화 문의 예약 등을 이용하실 수 있습니다.
- 병원 방문 시 > 수납처 
- 전화 문의 시 > 해당 병원 연락처 이용

상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
병원 예약을 위해 어떤 정보를 준비해야 하나요?,"별도의 정보는 필요하지 않습니다.

상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
병원 예약은 당일에도 가능한가요?,"예약은 1년 365일 24시간 가능하며, 2시간 이후 진료에 대해서만 예약이 가능합니다. 또한, 예약 시간 30분 전까지 예약이 승인되지 않는 경우 예약이 자동 취소되므로 방문 전 확인 부탁드립니다.

상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
진료예약 서비스는 병원에서 직접 신청해야 하나요?,"저희 ""Asklepios""를 활용하시면 온라인 예약이 가능합니다. 진료 예약을 원하시는 병원, 의사, 날짜 및 시간 선택 후 예약 신청이 가능합니다.

상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
병원 예약은 앱으로도 할 수 있나요?,"저희 ""Asklepios"" 앱을 이용하시면, 앱으로도 예약 가능합니다.

상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
진료 예약을 위해 병원 접수처를 방문해야 하나요?,"반드시 방문하실 필요 없습니다. 저희 ""Asklepios""를 이용하시면 온라인 예약이 가능합니다.

상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
진료예약 접수는 병원 내 어디에서 하나요?,"병원 내 수납처에서 진료예약 가능합니다. 저희 ""Asklepios""를 이용하실 경우 온라인 예약이 가능합니다. 많은 이용 부탁드립니다.

상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
병원 예약은 어떤 시간에 가능한가요?,"저희 ""Asklepios""는 1년 365일 24시간 가능합니다.
온라인 예약 진행 시 날짜 및 시간을 선택할 수 있으며, 진료 불가능 한 시간은 선택이 불가하므로 이용에 착오 없으시길 바랍니다.

상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
진료를 예약하려면 병원에 직접 방문해야 하나요?,"직접 방문하실 필요 없습니다. 저희 ""Asklepios""에서 온라인 예약 진행 시 일정을 선택하여 예약이 가능합니다.

상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
